Orden_ID,Fecha,Cliente,Sector_Cliente,Tipo_Equipo,Componente,Tipo_Servicio,Tecnico_Responsable,Tiempo_Reparacion_Horas,Costo_Repuestos_PEN,Costo_Mano_Obra_PEN,Costo_Total_PEN,Estado,Reincidencia
OT-2024116,2024-01-28,Aceros Arequipa,Transporte,Tractor,Cucharón,Mantenimiento Hidráulico,Luis Flores,10.0,3888.56,483.84,4372.4,Completado,No
OT-2024314,2024-02-02,Yura S.A.,Construcción,Cargador Frontal,Rueda,Mantenimiento Hidráulico,Miguel Choque,5.9,7807.68,327.0,8134.68,Completado,No
OT-2024119,2024-02-02,Aceros Arequipa,Minería,Retroexcavadora,Bastidor,Mantenimiento Hidráulico,Pedro Vilca,14.5,5013.82,667.87,5681.69,Completado,No
OT-2024517,2024-02-04,Minera Chapi,Minería,Grúa,Alternador,Soldadura,Miguel Choque,11.2,5127.43,537.25,5664.68,Completado,Sí
OT-2024063,2024-02-04,Southern Perú,Minería,Grúa,Bastidor,Sistema Eléctrico,Pedro Vilca,4.1,3458.58,186.69,3645.27,Completado,No
OT-2024388,2024-02-05,Yura S.A.,Transporte,Excavadora,Mando Final,Soldadura,Pedro Vilca,4.8,683.89,208.72,892.61,En proceso,No
OT-2024152,2024-02-05,Constructora Andina,Transporte,Cargador Frontal,Mando Final,Soldadura,Miguel Choque,3.7,1958.42,194.52,2152.94,En proceso,Sí
OT-2024349,2024-02-06,Buenaventura,Energía,Retroexcavadora,Cilindro Hidráulico,Soldadura,Luis Flores,1.9,5256.24,77.5,5333.74,Completado,No
OT-2024273,2024-02-06,Cerro Verde,Minería,Retroexcavadora,Rueda,Mantenimiento Hidráulico,Luis Flores,7.7,2137.33,310.77,2448.1,Completado,No
OT-2024546,2024-02-06,Consorcio Vial Sur,Energía,Excavadora,Alternador,Soldadura,Pedro Vilca,9.1,1038.11,322.35,1360.46,Pendiente,No
OT-2024321,2024-02-07,Minera Chapi,Minería,Cargador Frontal,Cucharón,Soldadura,Miguel Choque,6.5,5317.23,318.43,5635.66,Completado,No
OT-2024584,2024-02-08,Constructora Andina,Construcción,Volquete,Mando Final,Sistema Eléctrico,Ana Torres,5.6,323.64,298.19,621.83,Pendiente,No
OT-2024381,2024-02-08,Southern Perú,Transporte,Volquete,Suspensión,Soldadura,Luis Flores,5.8,6904.54,288.88,7193.42,En proceso,No
OT-2024095,2024-02-10,Cementos Yura,Transporte,Perforadora,Estructura Metálica,Mantenimiento Hidráulico,Carlos Mamani,9.6,6991.85,442.87,7434.72,Completado,No
OT-2024115,2024-02-10,Cementos Yura,Minería,Tractor,Motor Eléctrico,Mantenimiento Hidráulico,Carlos Mamani,5.3,5909.27,298.28,6207.55,Completado,No
OT-2024587,2024-02-11,Transportes Rodríguez,Minería,Excavadora,Rueda,Mantenimiento Hidráulico,Miguel Choque,4.3,5639.97,219.6,5859.57,En proceso,No
OT-2024508,2024-02-12,Transportes Rodríguez,Minería,Tractor,Estructura Metálica,Sistema Eléctrico,Miguel Choque,5.5,7739.65,253.47,7993.12,Completado,No
OT-2024345,2024-02-15,Transportes Rodríguez,Energía,Grúa,Cilindro Hidráulico,Soldadura,Carlos Mamani,6.1,3001.83,339.09,3340.92,Completado,No
OT-2024467,2024-02-16,Yura S.A.,Minería,Perforadora,Suspensión,Sistema Eléctrico,Ana Torres,4.0,887.45,217.68,1105.13,Completado,No
OT-2024424,2024-02-16,Transportes Rodríguez,Minería,Retroexcavadora,Mando Final,Cromado Duro,Pedro Vilca,21.6,7622.77,954.16,8576.93,Completado,No
OT-2024120,2024-02-17,Transportes Rodríguez,Construcción,Cargador Frontal,Cucharón,Soldadura,Pedro Vilca,4.4,1684.53,159.76,1844.29,En proceso,No
OT-2024338,2024-02-18,Consorcio Vial Sur,Minería,Perforadora,Cilindro Hidráulico,Sistema Eléctrico,Pedro Vilca,5.7,6877.83,250.34,7128.17,Completado,No
OT-2024400,2024-02-20,Yura S.A.,Minería,Tractor,Mando Final,Sistema Eléctrico,Pedro Vilca,1.0,5398.87,37.0,5435.87,En proceso,No
OT-2024221,2024-02-22,Constructora Andina,Transporte,Perforadora,Cucharón,Soldadura,Ana Torres,5.5,4051.75,245.8,4297.55,Pendiente,No
OT-2024090,2024-02-22,Cementos Yura,Construcción,Tractor,Motor Eléctrico,Soldadura,Luis Flores,12.4,5809.77,504.82,6314.59,Completado,No
OT-2024417,2024-02-22,Cementos Yura,Construcción,Volquete,Cilindro Hidráulico,Soldadura,José Quispe,4.2,6505.48,211.22,6716.7,En proceso,No
OT-2024413,2024-02-23,Aceros Arequipa,Construcción,Perforadora,Suspensión,Soldadura,José Quispe,5.7,537.86,299.16,837.02,Pendiente,No
OT-2024283,2024-02-23,Consorcio Vial Sur,Minería,Perforadora,Cilindro Hidráulico,Mantenimiento Hidráulico,Ana Torres,1.0,2508.35,46.48,2554.83,Completado,No
OT-2024435,2024-02-27,Consorcio Vial Sur,Construcción,Retroexcavadora,Estructura Metálica,Mantenimiento Hidráulico,Luis Flores,2.7,772.24,139.26,911.5,Pendiente,No
OT-2024442,2024-02-27,Buenaventura,Minería,Volquete,Estructura Metálica,Sistema Eléctrico,Miguel Choque,6.0,2283.19,290.2,2573.39,Completado,No
OT-2024033,2024-02-28,Consorcio Vial Sur,Construcción,Cargador Frontal,Suspensión,Mantenimiento Hidráulico,Luis Flores,4.5,2631.43,185.46,2816.89,Completado,No
OT-2024553,2024-03-02,Yura S.A.,Minería,Cargador Frontal,Arrancador,Sistema Eléctrico,Pedro Vilca,4.2,5381.85,183.05,5564.9,Completado,Sí
OT-2024104,2024-03-03,Cerro Verde,Industria,Grúa,Alternador,Soldadura,Carlos Mamani,6.6,3272.14,338.45,3610.59,Completado,No
OT-2024098,2024-03-05,Aceros Arequipa,Energía,Tractor,Bastidor,Sistema Eléctrico,Miguel Choque,3.3,486.04,176.25,662.29,En proceso,No
OT-2024574,2024-03-09,Transportes Rodríguez,Construcción,Volquete,Estructura Metálica,Sistema Eléctrico,Luis Flores,3.1,4522.66,154.06,4676.72,Pendiente,No
OT-2024466,2024-03-09,Aceros Arequipa,Construcción,Perforadora,Mando Final,Soldadura,Pedro Vilca,1.7,1043.61,95.29,1138.9,En proceso,No
OT-2024004,2024-03-12,Cerro Verde,Minería,Excavadora,Cilindro Hidráulico,Cromado Duro,Ana Torres,13.1,1008.3,639.89,1648.19,Completado,No
OT-2024599,2024-03-14,Cerro Verde,Construcción,Tractor,Cilindro Hidráulico,Mantenimiento Hidráulico,Carlos Mamani,12.1,4611.71,575.93,5187.64,En proceso,Sí
OT-2024529,2024-03-15,Constructora Andina,Energía,Perforadora,Rueda,Mantenimiento Hidráulico,Carlos Mamani,10.1,5122.19,359.81,5482.0,Pendiente,No
OT-2024458,2024-03-16,Aceros Arequipa,Energía,Cargador Frontal,Acumulador de Freno,Mantenimiento Hidráulico,José Quispe,8.0,4748.4,395.79,5144.19,Completado,Sí
OT-2024565,2024-03-16,Aceros Arequipa,Minería,Volquete,Suspensión,Sistema Eléctrico,Luis Flores,4.1,1893.41,199.06,2092.47,Completado,No
OT-2024065,2024-03-21,Constructora Andina,Industria,Perforadora,Estructura Metálica,Cromado Duro,Ana Torres,6.0,10290.33,321.5,10611.83,Completado,Sí
OT-2024209,2024-03-21,Aceros Arequipa,Construcción,Grúa,Cucharón,Mantenimiento Hidráulico,José Quispe,10.6,2074.98,453.65,2528.63,Pendiente,No
OT-2024157,2024-03-26,Buenaventura,Industria,Tractor,Estructura Metálica,Sistema Eléctrico,José Quispe,2.3,6767.08,91.2,6858.28,En proceso,No
OT-2024462,2024-03-26,Southern Perú,Transporte,Retroexcavadora,Acumulador de Freno,Soldadura,Luis Flores,10.3,1909.18,389.56,2298.74,En proceso,No
OT-2024013,2024-03-28,Consorcio Vial Sur,Construcción,Excavadora,Bastidor,Soldadura,Miguel Choque,11.3,3259.5,519.09,3778.59,Completado,No
OT-2024519,2024-03-30,Consorcio Vial Sur,Minería,Cargador Frontal,Suspensión,Mantenimiento Hidráulico,José Quispe,1.0,5222.48,55.86,5278.34,Pendiente,No
OT-2024397,2024-04-01,Aceros Arequipa,Industria,Tractor,Arrancador,Mantenimiento Hidráulico,José Quispe,12.6,4875.8,725.26,5601.06,Completado,No
OT-2024058,2024-04-01,Aceros Arequipa,Transporte,Volquete,Bastidor,Cromado Duro,José Quispe,14.1,2091.03,693.7,2784.73,Completado,No
OT-2024468,2024-04-03,Constructora Andina,Industria,Retroexcavadora,Mando Final,Soldadura,Pedro Vilca,3.5,523.68,150.68,674.36,Completado,No
OT-2024542,2024-04-05,Minera Chapi,Minería,Volquete,Acumulador de Freno,Soldadura,José Quispe,6.3,5459.49,374.84,5834.33,Completado,No
OT-2024445,2024-04-05,Yura S.A.,Transporte,Volquete,Alternador,Mantenimiento Hidráulico,Miguel Choque,7.8,5457.34,437.64,5894.98,Completado,No
OT-2024145,2024-04-05,Cerro Verde,Minería,Retroexcavadora,Acumulador de Freno,Mantenimiento Hidráulico,Luis Flores,11.7,2696.47,629.81,3326.28,Completado,No
OT-2024575,2024-04-08,Buenaventura,Minería,Grúa,Cilindro Hidráulico,Soldadura,Luis Flores,4.6,4548.04,273.51,4821.55,Completado,No
OT-2024356,2024-04-08,Aceros Arequipa,Minería,Perforadora,Alternador,Sistema Eléctrico,Miguel Choque,1.0,2575.04,39.95,2614.99,Completado,Sí
OT-2024540,2024-04-08,Consorcio Vial Sur,Minería,Cargador Frontal,Rueda,Mantenimiento Hidráulico,Carlos Mamani,9.4,1738.03,351.94,2089.97,Completado,No
OT-2024348,2024-04-08,Minera Chapi,Construcción,Perforadora,Mando Final,Mantenimiento Hidráulico,Luis Flores,11.1,5030.06,480.66,5510.72,En proceso,No
OT-2024277,2024-04-08,Cerro Verde,Energía,Grúa,Arrancador,Sistema Eléctrico,José Quispe,1.2,4095.57,58.05,4153.62,Completado,No
OT-2024297,2024-04-08,Transportes Rodríguez,Construcción,Volquete,Alternador,Soldadura,Ana Torres,3.8,5132.65,147.87,5280.52,Completado,No
OT-2024125,2024-04-08,Transportes Rodríguez,Construcción,Tractor,Motor Eléctrico,Soldadura,Miguel Choque,2.8,4222.3,162.36,4384.66,Completado,No
OT-2024015,2024-04-09,Transportes Rodríguez,Transporte,Tractor,Bastidor,Mantenimiento Hidráulico,Miguel Choque,11.2,1205.26,427.85,1633.11,Completado,No
OT-2024482,2024-04-09,Yura S.A.,Minería,Tractor,Suspensión,Sistema Eléctrico,Pedro Vilca,2.2,6790.77,103.2,6893.97,Completado,No
OT-2024421,2024-04-12,Cementos Yura,Minería,Volquete,Mando Final,Mantenimiento Hidráulico,Ana Torres,1.0,1236.84,50.96,1287.8,Pendiente,No
OT-2024000,2024-04-12,Buenaventura,Minería,Retroexcavadora,Suspensión,Sistema Eléctrico,Pedro Vilca,4.1,3523.51,166.31,3689.82,Completado,No
OT-2024291,2024-04-13,Cerro Verde,Minería,Grúa,Estructura Metálica,Soldadura,Miguel Choque,8.1,5252.64,286.64,5539.28,Completado,No
OT-2024377,2024-04-13,Cerro Verde,Minería,Volquete,Acumulador de Freno,Mantenimiento Hidráulico,Luis Flores,8.6,1249.69,321.3,1570.99,Completado,No
OT-2024071,2024-04-15,Transportes Rodríguez,Construcción,Tractor,Cilindro Hidráulico,Mantenimiento Hidráulico,Luis Flores,8.2,5488.53,402.98,5891.51,Completado,No
OT-2024429,2024-04-15,Transportes Rodríguez,Energía,Excavadora,Cilindro Hidráulico,Soldadura,Ana Torres,4.0,2037.86,234.36,2272.22,En proceso,No
OT-2024003,2024-04-16,Cementos Yura,Construcción,Excavadora,Alternador,Sistema Eléctrico,Carlos Mamani,7.0,6617.76,375.24,6993.0,Pendiente,No
OT-2024585,2024-04-18,Cerro Verde,Energía,Grúa,Mando Final,Mantenimiento Hidráulico,Miguel Choque,7.9,612.04,400.1,1012.14,En proceso,Sí
OT-2024294,2024-04-21,Cerro Verde,Energía,Perforadora,Alternador,Mantenimiento Hidráulico,Miguel Choque,7.3,6684.67,409.22,7093.89,Completado,No
OT-2024206,2024-04-22,Yura S.A.,Construcción,Tractor,Acumulador de Freno,Soldadura,Pedro Vilca,5.4,3840.9,193.65,4034.55,Completado,No
OT-2024198,2024-04-22,Southern Perú,Minería,Retroexcavadora,Bastidor,Sistema Eléctrico,José Quispe,2.1,398.49,107.41,505.9,En proceso,No
OT-2024211,2024-04-22,Minera Chapi,Minería,Tractor,Alternador,Cromado Duro,Ana Torres,17.4,7122.97,969.38,8092.35,Completado,No
OT-2024523,2024-04-24,Consorcio Vial Sur,Construcción,Retroexcavadora,Acumulador de Freno,Sistema Eléctrico,Luis Flores,5.1,2345.77,259.99,2605.76,Completado,No
OT-2024358,2024-04-25,Minera Chapi,Minería,Grúa,Rueda,Soldadura,Miguel Choque,2.2,2023.74,78.3,2102.04,Completado,No
OT-2024438,2024-04-26,Southern Perú,Transporte,Excavadora,Cilindro Hidráulico,Soldadura,Carlos Mamani,1.0,6613.38,53.82,6667.2,En proceso,No
OT-2024447,2024-04-27,Cementos Yura,Energía,Perforadora,Suspensión,Soldadura,Miguel Choque,3.8,6201.65,221.81,6423.46,Completado,No
OT-2024284,2024-04-29,Buenaventura,Energía,Cargador Frontal,Motor Eléctrico,Soldadura,Miguel Choque,3.3,4422.68,143.98,4566.66,Completado,No
OT-2024433,2024-04-29,Cementos Yura,Minería,Retroexcavadora,Acumulador de Freno,Soldadura,Carlos Mamani,7.6,5124.73,317.41,5442.14,Pendiente,No
OT-2024008,2024-05-01,Aceros Arequipa,Transporte,Excavadora,Estructura Metálica,Cromado Duro,Luis Flores,11.6,8479.01,692.31,9171.32,Completado,No
OT-2024231,2024-05-02,Transportes Rodríguez,Minería,Volquete,Alternador,Soldadura,Ana Torres,8.9,6672.15,446.37,7118.52,Completado,No
OT-2024241,2024-05-03,Cementos Yura,Energía,Tractor,Suspensión,Mantenimiento Hidráulico,Miguel Choque,14.3,4607.67,776.36,5384.03,En proceso,No
OT-2024405,2024-05-04,Cementos Yura,Construcción,Tractor,Cilindro Hidráulico,Mantenimiento Hidráulico,Miguel Choque,3.8,232.66,196.69,429.35,Completado,No
OT-2024439,2024-05-06,Buenaventura,Minería,Tractor,Estructura Metálica,Soldadura,Pedro Vilca,5.3,2920.89,235.16,3156.05,Completado,No
OT-2024364,2024-05-07,Transportes Rodríguez,Minería,Grúa,Acumulador de Freno,Soldadura,Miguel Choque,4.0,470.45,179.19,649.64,En proceso,No
OT-2024101,2024-05-08,Minera Chapi,Transporte,Tractor,Cucharón,Cromado Duro,Pedro Vilca,2.0,6142.34,82.71,6225.05,Pendiente,No
OT-2024220,2024-05-09,Yura S.A.,Industria,Tractor,Mando Final,Mantenimiento Hidráulico,Ana Torres,12.3,4660.11,709.46,5369.57,Completado,No
OT-2024017,2024-05-10,Buenaventura,Transporte,Excavadora,Motor Eléctrico,Soldadura,Carlos Mamani,4.2,2976.73,240.89,3217.62,Completado,No
OT-2024044,2024-05-10,Constructora Andina,Minería,Perforadora,Mando Final,Mantenimiento Hidráulico,Luis Flores,3.6,398.01,140.05,538.06,Pendiente,No
OT-2024280,2024-05-10,Buenaventura,Construcción,Retroexcavadora,Motor Eléctrico,Sistema Eléctrico,Miguel Choque,6.7,262.12,389.36,651.48,Completado,No
OT-2024592,2024-05-12,Cerro Verde,Construcción,Cargador Frontal,Alternador,Mantenimiento Hidráulico,Luis Flores,3.9,3247.41,201.42,3448.83,Completado,No
OT-2024310,2024-05-14,Constructora Andina,Energía,Grúa,Estructura Metálica,Cromado Duro,Luis Flores,12.8,513.16,502.86,1016.02,En proceso,No
OT-2024117,2024-05-14,Yura S.A.,Construcción,Cargador Frontal,Mando Final,Mantenimiento Hidráulico,José Quispe,6.6,5129.72,240.65,5370.37,Pendiente,No
OT-2024105,2024-05-18,Consorcio Vial Sur,Transporte,Grúa,Acumulador de Freno,Cromado Duro,Pedro Vilca,6.3,7889.62,234.75,8124.37,Completado,No
OT-2024396,2024-05-22,Aceros Arequipa,Construcción,Tractor,Cucharón,Sistema Eléctrico,Ana Torres,1.0,7016.22,35.32,7051.54,En proceso,No
OT-2024238,2024-05-23,Constructora Andina,Transporte,Cargador Frontal,Alternador,Sistema Eléctrico,Miguel Choque,3.1,7692.89,123.76,7816.65,Completado,No
OT-2024573,2024-05-23,Buenaventura,Construcción,Tractor,Mando Final,Mantenimiento Hidráulico,Ana Torres,12.9,1695.04,604.54,2299.58,Pendiente,No
OT-2024264,2024-05-23,Buenaventura,Minería,Grúa,Motor Eléctrico,Sistema Eléctrico,Ana Torres,4.8,7334.9,169.38,7504.28,En proceso,No
OT-2024582,2024-05-23,Aceros Arequipa,Energía,Grúa,Rueda,Mantenimiento Hidráulico,Pedro Vilca,8.4,3876.31,500.03,4376.34,Completado,No
OT-2024250,2024-05-26,Cementos Yura,Minería,Excavadora,Estructura Metálica,Sistema Eléctrico,Pedro Vilca,1.0,3516.78,35.94,3552.72,Pendiente,No
OT-2024251,2024-05-27,Consorcio Vial Sur,Minería,Volquete,Estructura Metálica,Sistema Eléctrico,Miguel Choque,4.6,1764.37,184.41,1948.78,En proceso,Sí
OT-2024406,2024-05-29,Aceros Arequipa,Minería,Grúa,Rueda,Mantenimiento Hidráulico,José Quispe,8.4,5883.52,360.23,6243.75,Completado,No
OT-2024581,2024-05-30,Buenaventura,Minería,Tractor,Acumulador de Freno,Soldadura,Miguel Choque,5.4,5402.33,216.1,5618.43,Completado,No
OT-2024259,2024-05-30,Transportes Rodríguez,Minería,Grúa,Mando Final,Cromado Duro,Luis Flores,10.4,783.92,495.25,1279.17,En proceso,No
OT-2024282,2024-05-31,Buenaventura,Energía,Tractor,Cucharón,Mantenimiento Hidráulico,Luis Flores,12.3,4124.43,490.11,4614.54,Completado,No
OT-2024298,2024-06-01,Cerro Verde,Construcción,Cargador Frontal,Cucharón,Sistema Eléctrico,José Quispe,4.8,6016.88,234.95,6251.83,Completado,No
OT-2024459,2024-06-02,Yura S.A.,Construcción,Cargador Frontal,Mando Final,Soldadura,Carlos Mamani,4.6,2241.66,232.79,2474.45,En proceso,No
OT-2024374,2024-06-03,Buenaventura,Construcción,Grúa,Acumulador de Freno,Soldadura,Ana Torres,6.8,6750.6,259.67,7010.27,En proceso,No
OT-2024096,2024-06-05,Consorcio Vial Sur,Industria,Perforadora,Arrancador,Mantenimiento Hidráulico,José Quispe,12.2,270.44,606.47,876.91,Completado,No
OT-2024343,2024-06-06,Minera Chapi,Minería,Volquete,Bastidor,Soldadura,Ana Torres,3.2,5012.16,181.08,5193.24,Pendiente,No
OT-2024274,2024-06-08,Consorcio Vial Sur,Industria,Retroexcavadora,Bastidor,Soldadura,Pedro Vilca,1.0,2797.67,57.12,2854.79,Completado,No
OT-2024494,2024-06-08,Yura S.A.,Minería,Cargador Frontal,Acumulador de Freno,Mantenimiento Hidráulico,Miguel Choque,5.8,3333.24,275.9,3609.14,En proceso,No
OT-2024154,2024-06-08,Cementos Yura,Industria,Retroexcavadora,Cilindro Hidráulico,Mantenimiento Hidráulico,Carlos Mamani,5.1,891.08,206.63,1097.71,En proceso,No
OT-2024304,2024-06-09,Aceros Arequipa,Minería,Grúa,Bastidor,Mantenimiento Hidráulico,José Quispe,7.8,6313.16,383.41,6696.57,Completado,No
OT-2024361,2024-06-09,Constructora Andina,Minería,Retroexcavadora,Motor Eléctrico,Soldadura,Miguel Choque,4.9,6692.44,270.19,6962.63,En proceso,No
OT-2024026,2024-06-09,Consorcio Vial Sur,Minería,Volquete,Cilindro Hidráulico,Soldadura,Pedro Vilca,3.9,4962.84,164.64,5127.48,Completado,No
OT-2024077,2024-06-10,Yura S.A.,Minería,Perforadora,Motor Eléctrico,Soldadura,José Quispe,3.5,3192.18,128.24,3320.42,Completado,No
OT-2024593,2024-06-11,Cementos Yura,Construcción,Perforadora,Arrancador,Mantenimiento Hidráulico,José Quispe,1.0,1662.71,35.26,1697.97,En proceso,No
OT-2024301,2024-06-11,Aceros Arequipa,Transporte,Grúa,Rueda,Soldadura,Pedro Vilca,6.3,2259.23,285.9,2545.13,Completado,No
OT-2024048,2024-06-15,Transportes Rodríguez,Energía,Excavadora,Motor Eléctrico,Soldadura,Pedro Vilca,8.1,3601.79,343.13,3944.92,Completado,No
OT-2024507,2024-06-16,Cerro Verde,Construcción,Cargador Frontal,Estructura Metálica,Soldadura,Luis Flores,6.7,7005.66,275.39,7281.05,Completado,No
OT-2024150,2024-06-19,Consorcio Vial Sur,Transporte,Grúa,Mando Final,Soldadura,José Quispe,6.6,3868.49,313.84,4182.33,Pendiente,No
OT-2024341,2024-06-20,Yura S.A.,Construcción,Cargador Frontal,Alternador,Cromado Duro,Miguel Choque,3.9,8584.75,191.74,8776.49,Completado,No
OT-2024380,2024-06-24,Yura S.A.,Energía,Cargador Frontal,Suspensión,Mantenimiento Hidráulico,Carlos Mamani,7.7,883.67,282.17,1165.84,Completado,No
OT-2024560,2024-06-25,Consorcio Vial Sur,Energía,Volquete,Rueda,Sistema Eléctrico,Miguel Choque,1.0,7705.26,59.11,7764.37,Pendiente,No
OT-2024483,2024-06-28,Aceros Arequipa,Construcción,Retroexcavadora,Cilindro Hidráulico,Mantenimiento Hidráulico,Luis Flores,3.4,5627.2,199.26,5826.46,Pendiente,No
OT-2024354,2024-06-29,Southern Perú,Transporte,Perforadora,Acumulador de Freno,Soldadura,Carlos Mamani,6.7,2736.65,241.08,2977.73,Completado,No
OT-2024230,2024-07-02,Aceros Arequipa,Transporte,Perforadora,Acumulador de Freno,Mantenimiento Hidráulico,Luis Flores,8.4,2915.15,372.07,3287.22,Completado,Sí
OT-2024588,2024-07-04,Yura S.A.,Energía,Cargador Frontal,Arrancador,Mantenimiento Hidráulico,José Quispe,8.8,3339.71,510.41,3850.12,Completado,No
OT-2024242,2024-07-05,Transportes Rodríguez,Construcción,Excavadora,Mando Final,Mantenimiento Hidráulico,Miguel Choque,3.0,2709.03,168.6,2877.63,Pendiente,No
OT-2024092,2024-07-06,Cementos Yura,Construcción,Retroexcavadora,Rueda,Soldadura,Miguel Choque,7.2,4137.79,349.79,4487.58,Completado,No
OT-2024453,2024-07-07,Yura S.A.,Minería,Cargador Frontal,Mando Final,Soldadura,Miguel Choque,6.4,4505.1,262.69,4767.79,Completado,No
OT-2024173,2024-07-08,Cementos Yura,Construcción,Cargador Frontal,Estructura Metálica,Mantenimiento Hidráulico,Luis Flores,18.4,6124.74,1098.51,7223.25,En proceso,No
OT-2024404,2024-07-08,Aceros Arequipa,Industria,Cargador Frontal,Arrancador,Mantenimiento Hidráulico,Pedro Vilca,8.2,2117.61,360.42,2478.03,En proceso,No
OT-2024545,2024-07-08,Consorcio Vial Sur,Transporte,Excavadora,Cilindro Hidráulico,Mantenimiento Hidráulico,Miguel Choque,7.7,2926.28,330.28,3256.56,Completado,No
OT-2024038,2024-07-08,Consorcio Vial Sur,Energía,Cargador Frontal,Alternador,Cromado Duro,Luis Flores,24.7,4305.89,898.32,5204.21,En proceso,No
OT-2024359,2024-07-09,Cerro Verde,Energía,Volquete,Motor Eléctrico,Soldadura,Pedro Vilca,5.9,594.86,212.31,807.17,Completado,No
OT-2024024,2024-07-10,Consorcio Vial Sur,Minería,Grúa,Cilindro Hidráulico,Soldadura,Pedro Vilca,5.7,1073.9,256.19,1330.09,Completado,No
OT-2024337,2024-07-10,Aceros Arequipa,Minería,Volquete,Cilindro Hidráulico,Sistema Eléctrico,Luis Flores,2.0,6080.17,98.89,6179.06,En proceso,No
